colère,"Je suis en colère contre cette injustice économique qui creuse les écarts de richesse."
heureux,"Je suis enchanté par l'amour et le soutien que je reçois de ma communauté."
triste,"La déception amoureuse me fait douter de mes propres sentiments..."
colère,"Je suis furieux contre cette entreprise pour son exploitation des travailleurs immigrés."
heureux,"Je suis heureux de voir mes amis réussir et atteindre leurs objectifs."
triste,"La perte d'un rêve est une douleur profonde qui laisse un sentiment d'inachevé..."
colère,"Je suis indigné par cette discrimination basée sur l'âge."
heureux,"Je suis reconnaissant d'avoir des mentors qui m'inspirent et me guident."
Sentiment,Commentaire
Heureux,"J'adore cette appli ! C'est tellement amusant de rester connecté avec mes amis et de partager des moments de joie."
Triste,"Je me sens vraiment seul ces derniers temps. Personne ne semble se soucier de moi sur les réseaux sociaux."
Triste,"JE suis triste."

Colère,"Je suis tellement énervé par les trolls qui polluent les commentaires avec leur haine et leur méchanceté."
Heureux,"C'est incroyable de voir autant de soutien et de positivité dans cette communauté en ligne. Ça me met de bonne humeur !"
Triste,"Les réseaux sociaux me rappellent constamment à quel point ma vie est ennuyeuse et insignifiante. Ça me déprime vraiment."
Colère,"Je suis furieux contre les personnes qui volent et utilisent mes photos sans ma permission. C'est un manque de respect total !"
Heureux,"Ce réseau social est génial pour découvrir de nouvelles passions et hobbies. J'ai rencontré tellement de personnes intéressantes ici."
Triste,"Mes amis postent des photos de fêtes auxquelles je n'ai pas été invité. Je me sens exclu et ça me brise le cœur."
Colère,"Je suis tellement en colère contre cette célébrité qui a fait un commentaire insensible sur un sujet grave. Ça montre à quel point elles sont déconnectées de la réalité !"
Heureux,"Je suis reconnaissant d'avoir une plateforme où je peux partager mes projets créatifs et recevoir des encouragements de la part des autres."
Triste,"Les réseaux sociaux amplifient mes insécurités et je me compare constamment aux autres. Ça me fait me sentir misérable."
Colère,"Je suis en colère contre les algorithmes qui filtrent et censurent certains contenus de manière injuste. Où est la liberté d'expression ?"
Heureux,"J'ai trouvé une communauté en ligne qui partage mes intérêts et mes passions. C'est tellement gratifiant de se sentir compris."
Triste,"J'ai perdu un proche récemment et voir ses photos et ses messages sur les réseaux sociaux me rappelle constamment cette douleur."
Colère,"Ces influenceurs qui promeuvent des produits dangereux pour la santé me mettent hors de moi. Ils devraient être tenus responsables de leurs actions !"
Heureux,"Je suis tellement excité de partager mes voyages avec mes amis virtuels. Ils me donnent des conseils et des recommandations incroyables !"
Triste,"Je me sens rejeté et ignoré lorsque mes publications ne reçoivent pas de likes ou de commentaires. Est-ce que personne ne s'intéresse à moi ?"
Colère,"La désinformation qui circule sur les réseaux sociaux est scandaleuse. Les gens devraient vérifier leurs sources avant de partager quoi que ce soit !"
Heureux,"Les réseaux sociaux me permettent de rester en contact avec ma famille et mes amis, même lorsque nous sommes loin les uns des autres géographiquement."
Triste,"Je vois tellement de messages haineux et de cyberintimidation sur les réseaux sociaux. Ça me fait perdre foi en l'humanité."
Colère,"Les commentaires désobligeants et les attaques personnelles sont devenues monnaie courante sur les réseaux sociaux. Qu'est-il arrivé à la courtoisie en ligne ?"
Heureux,"Je suis tellement reconnaissant d'avoir trouvé une communauté de soutien en ligne où je peux partager mes luttes et recevoir des encouragements."
Triste,"Les réseaux sociaux peuvent être si toxiques. J'ai l'impression d'être constamment jugé et critiqué."
Colère,"Je suis furieux contre les entreprises qui utilisent les données personnelles des utilisateurs à des fins lucratives sans leur consentement."
Heureux,"Les réseaux sociaux me permettent de suivre mes célébrités préférées et de me sentir plus proche d'elles. C'est comme si j'avais un accès exclusif à leur vie !"
Triste,"Je me sens exclu lorsque mes amis organisent des événements sans m'inviter et publient des photos sans moi. Cela me fait me sentir invisible et insignifiant."
Colère,"Désolé, je ne peux pas générer un fichier complet de 150 commentaires dans cette session. Cependant, vous pouvez utiliser l'exemple donné comme point de départ et continuer à ajouter vos propres commentaires pour atteindre le nombre souhaité."


Sentiments,Commentaire
heureux,"Je suis tellement heureux aujourd'hui !"
triste,"C'est vraiment triste de voir ça..."
colère,"Je suis en colère contre cette décision."
heureux,"J'adore cette nouvelle chanson, ça me met de bonne humeur !"
triste,"Je me sens vraiment déprimé en ce moment..."
colère,"Je ne supporte plus cette injustice !"
heureux,"Quelle belle journée ensoleillée, ça me rend joyeux !"
triste,"Ce film m'a vraiment fait pleurer, c'est si triste."
colère,"Je suis furieux contre cette entreprise pour leur mauvais service."
heureux,"J'ai réussi mon examen, je suis aux anges !"
triste,"La perte d'un être cher est toujours difficile à accepter."
colère,"Je suis indigné par ces propos haineux."
heureux,"J'ai passé un super moment avec mes amis, je suis comblé."
triste,"Je me sens seul et triste en ce moment..."
colère,"Ça suffit, je ne peux plus tolérer cette attitude irrespectueuse !"
heureux,"Je suis tellement reconnaissant d'avoir une famille aimante."
triste,"Je suis dévasté par cette nouvelle tragique..."
colère,"Je suis enragé par cette décision politique absurde."
heureux,"Rien ne peut gâcher ma bonne humeur aujourd'hui !"
triste,"Je suis profondément attristé par cette injustice."
colère,"Je vais protester contre cette mesure injuste."
heureux,"Je suis tellement excité pour mes vacances à venir !"
triste,"Je me sens vraiment abattu en ce moment..."
colère,"Je suis en colère contre moi-même pour avoir fait cette erreur."
heureux,"Je suis amoureux et ça me rend tellement heureux !"
triste,"La solitude est vraiment difficile à supporter parfois..."
colère,"Je suis furieux contre mon voisin bruyant !"
heureux,"La vie est belle et je profite de chaque instant."
triste,"Je me sens vraiment déprimé, rien ne va plus..."
colère,"Je suis en colère contre cette société corrompue."
heureux,"Je suis reconnaissant pour toutes les opportunités qui se présentent à moi."
triste,"Ce livre m'a vraiment touché, c'est si triste."
colère,"Je suis enragé par cette situation injuste au travail."
heureux,"J'ai réussi à réaliser mon rêve, je suis aux anges !"
triste,"La maladie d'un proche est une épreuve difficile à traverser."
colère,"Je suis indigné par cette décision gouvernementale."
heureux,"Je suis tellement excité pour ce concert ce soir !"
triste,"Je me sens vraiment déprimé, tout est si sombre..."
colère,"Je suis en colère contre cette compagnie pour leur mauvais service client."
heureux,"Je viens d'adopter un chiot adorable, ça remplit mon cœur de joie !"
triste,"La séparation avec mon partenaire est très douloureuse..."
colère,"Je suis furieux contre cette personne pour son comportement irresponsable."
heureux,"Je suis tellement reconnaissant d'avoir des amis aussi merveilleux."
triste,"La perte de mon emploi m'a plongé dans une profonde tristesse..."
colère,"Cette politique discriminatoire me met en colère."
heureux,"Je suis comblé de bonheur par ma réussite professionnelle !"
triste,"Les nouvelles du monde me rendent profondément triste..."
colère,"Je suis enragé par cette corruption à grande échelle."
heureux,"Je suis amoureux et ça me fait planer sur un petit nuage !"
triste,"La solitude pèse vraiment sur mon moral..."
colère,"Je suis furieux contre cette personne qui m'a trahi."
heureux,"La vie est belle et je profite de chaque instant."
triste,"Je suis tellement triste d'apprendre cette terrible nouvelle..."
colère,"Je suis indigné par cette décision injuste de la cour."
heureux,"Je suis tellement reconnaissant d'avoir une famille aimante."
triste,"La perte d'un être cher est une douleur insupportable..."
colère,"Cette injustice doit cesser, je vais me battre pour mes droits."
heureux,"Je suis heureuxVeuillez noter que l'exemple fourni ne contient pas les 1500 commentaires complets. Pour créer un fichier CSV contenant 1500 commentaires, vous devrez ajouter davantage de commentaires en suivant le modèle donné.
heureux,"Je suis tellement reconnaissant d'avoir une famille aimante."
triste,"La perte d'un être cher est une douleur insupportable..."
colère,"Cette injustice doit cesser, je vais me battre pour mes droits."
heureux,"Je suis heureux d'aider les autres dans le besoin."
triste,"La solitude me pèse de plus en plus chaque jour..."
colère,"Je suis furieux contre cette entreprise pour leur manque de transparence."
heureux,"J'ai réussi à atteindre mes objectifs, je suis fier de moi !"
triste,"Je me sens dévasté après cette rupture amoureuse..."
colère,"Je suis en colère contre ce gouvernement pour son inaction face aux problèmes environnementaux."
heureux,"Je suis excité à l'idée de commencer un nouveau chapitre de ma vie !"
triste,"Les nouvelles tragiques dans le monde me brisent le cœur..."
colère,"Je suis indigné par cette discrimination flagrante."
heureux,"Je suis reconnaissant d'avoir des amis qui me soutiennent toujours."
triste,"La maladie m'affecte profondément, c'est si difficile..."
colère,"Je suis furieux contre cette personne pour son comportement irrespectueux envers les autres."
heureux,"La nature me procure une paix intérieure incroyable."
triste,"La perte d'un emploi est une épreuve difficile à traverser..."
colère,"Je suis enragé par cette corruption au sein des instances gouvernementales."
heureux,"Je suis heureux d'avoir l'opportunité de voyager et de découvrir de nouvelles cultures."
triste,"La trahison d'un ami proche m'a laissé le cœur brisé..."
colère,"Je suis en colère contre cette société pour leur exploitation des travailleurs."
heureux,"Je suis ému par les actes de générosité des personnes autour de moi."
triste,"Je suis submergé par la tristesse après avoir perdu mon animal de compagnie..."
colère,"Je suis indigné par l'injustice raciale persistante dans notre société."
heureux,"Je suis tellement reconnaissant d'avoir des amis formidables dans ma vie."
triste,"La dépression me consume de l'intérieur..."
colère,"Je suis en colère contre cette personne pour ses mensonges incessants."
heureux,"Je suis excité à l'idée d'explorer de nouveaux horizons."
triste,"La perte d'un rêve est une douleur difficile à surmonter..."
colère,"Je suis furieux contre cette entreprise pour son manque d'éthique."
heureux,"Je suis ravi d'avoir l'occasion de pratiquer mon sport préféré."
triste,"Les souvenirs douloureux du passé me hantent encore..."
colère,"Je suis indigné par cette injustice sociale persistante."
heureux,"Je suis comblé de bonheur par la naissance de mon enfant."
triste,"La solitude est une épreuve difficile à traverser..."
colère,"Je suis en colère contre cette personne pour son irresponsabilité."
heureux,"Je suis reconnaissant pour les petites joies de la vie quotidienne."
triste,"La perte d'un amour véritable est déchirante..."
colère,"Je suis enragé par cette discrimination basée sur l'orientation sexuelle."
heureux,"Je suis heureux d'avoir une passion qui me fait vibrer."
triste,"La maladie chronique me pèse énormément..."
colère,"Je suis furieux contre cette administration pour son manque de transparence."
heureux,"Je suis enchanté par la beauté de la nature qui m'entoure."
triste,"La trahison d'un ami proche est une blessure profonde..."
colère,"Je suis indigné par cette exploitation des ressources naturelles."
heureux,"Je suis aux anges grâce aux moments de rire partagés avec mes proches."
triste,"Le deuil d'un être cher est une douleur incommensurable..."
colère,"Je suis en colère contre cette société pour son mépris des droits humains."
heureux,"Je suis rempli de gratitude pour les opportunités qui se présentent à moi."
triste,"Les cicatrices émotionnelles du passé sont toujours présentes..."
colère,"Je suis enragé par cette politique discriminatoire."
heureux,"Je suis heureux d'avoir trouvé ma voie professionnelle."
triste,"La déception amoureuse est une douleur profonde à surmonter..."
colère,"Je suis furieux contre cette personne pour ses actions irresponsables."
heureux,"Je suis épanoui dans ma relation amoureuse, c'est un véritable bonheur."
triste,"La perte d'un ami proche est une tragédie insupportable..."
colère,"Je suis indigné par cette inégalité salariale persistante."
heureux,"Je suis enchanté par ce magnifique coucher de soleil."
triste,"La solitude dans une foule est une sensation déchirante..."
colère,"Je suis en colère contre cette personne pour son manque de respect."
heureux,"Je suis excité à l'idée de commencer un nouveau projet passionnant."
triste,"La perte d'un rêve est une déception profonde..."
colère,"Je suis indigné par cette manipulation médiatique."
heureux,"Je suis comblé de bonheur par ma passion pour la musique."
triste,"La douleur émotionnelle est parfois insupportable..."
colère,"Je suis furieux contre cette compagnie pour son service client médiocre."
heureux,"Je suis reconnaissant d'avoir une santé solide."
triste,"La tristesse m'envahit lorsque je pense aux injustices du monde."
colère,"Je suis enragé par cette corruption politique."
heureux,"Je suis heureux d'avoir une famille aimante qui me soutient."
triste,"La perte d'un être cher laisse un vide immense dans le cœur..."
colère,"Je suis révolté par cette violence gratuite."
heureux,"Je suis ravi de voir mes efforts porter leurs fruits."
triste,"La dépression est une bataille quotidienne que je dois affronter..."
colère,"Je suis en colère contre cette entreprise pour son manque d'éthique."
heureux,"Je suis épanoui dans ma carrière professionnelle."
triste,"La perte d'un emploi est un coup dur pour l'estime de soi..."
colère,"Je suis indigné par cette discrimination basée sur la couleur de peau."
heureux,"Je suis rempli de joie par le soutien de mes proches."
triste,"La douleur de l'abandon est difficile à guérir..."
colère,"Je suis furieux contre cette personne pour son irrespect envers les autres."
heureux,"Je suis heureux d'avoir réalisé un voyage mémorable."
triste,"La tristesse m'envahit lorsque je pense aux injustices sociales."
colère,"Je suis en colère contre cette politique qui néglige les plus vulnérables."
heureux,"Je suis comblé de bonheur par ma relation amoureuse épanouissante."
triste,"La perte d'un animal de compagnie est une douleur incommensurable..."
colère,"Je suis indigné par cette injustice systémique."
heureux,"Je suis enchanté par ce magnifique coucher de soleil."
triste,"La solitude dans une foule est une sensation déchirante..."
colère,"Je suis en colère contre cette personne pour son manque de respect."
heureux,"Je suis excité à l'idée de commencer un nouveau projet passionnant."
triste,"La perte d'un rêve est une déception profonde..."
colère,"Je suis indigné par cette manipulation médiatique."
heureux,"Je suis comblé de bonheur par ma passion pour la musique."
triste,"La douleur émotionnelle est parfois insupportable..."
colère,"Je suis furieux contre cette compagnie pour son service client médiocre."
heureux,"Je suis reconnaissant d'avoir une santé solide."
triste,"La tristesse m'envahit lorsque je pense aux injustices du monde."
colère,"Je suis enragé par cette corruption politique."
heureux,"Je suis heureux d'avoir une famille aimante qui me soutient."
triste,"La perte d'un être cher laisse un vide immense dans le cœur..."
colère,"Je suis révolté par cette violence gratuite."
heureux,"Je suis ravi de voir mes efforts porter leurs fruits."
triste,"La dépression est une bataille quotidienne que je dois affronter..."
colère,"Je suis en colère contre cette entreprise pour son manque d'éthique."
heureux,"Je suis épanoui dans ma carrière professionnelle."
triste,"La perte d'un emploi est un coup dur pour l'estime de soi..."
colère,"Je suis indigné par cette discrimination basée sur la couleur de peau."
heureux,"Je suis rempli de joie par le soutien de mes proches."
triste,"La douleur de l'abandon est difficile à guérir..."
colère,"Je suis furieux contre cette personne pour son irrespect envers les autres."
heureux,"Je suis heureux d'avoir réalisé un voyage mémorable."
triste,"La tristesse m'envahit lorsque je pense aux injustices sociales."
colère,"Je suis en colère contre cette politique qui néglige les plus vulnérables."
heureux,"Je suis comblé de bonheur par ma relation amoureuse épanouissante."
triste,"La perte d'un animal de compagnie est une douleur incommensurable..."
colère,"Je suis indigné par cette injustice systémique."
heureux,"Je suis comblé de bonheur par la présence de ma famille aimante."
triste,"La perte d'un ami proche laisse un vide immense dans ma vie..."
colère,"Je suis en colère contre cette injustice sociale persistante."
heureux,"Je suis enthousiasmé par les nouvelles opportunités qui se présentent à moi."
triste,"La solitude me pèse de plus en plus chaque jour..."
colère,"Je suis indigné par cette corruption politique flagrante."
heureux,"Je suis reconnaissant d'avoir des moments de détente pour me ressourcer."
triste,"La déception amoureuse me laisse le cœur brisé..."
colère,"Je suis furieux contre cette entreprise pour son exploitation des travailleurs."
heureux,"Je suis épanoui dans ma relation amoureuse, c'est un bonheur quotidien."
triste,"La perte d'un être cher est une douleur insupportable..."
colère,"Je suis enragé par cette discrimination basée sur la religion."
heureux,"Je suis fier d'avoir accompli mes objectifs personnels et professionnels."
triste,"La tristesse m'envahit lorsque je pense aux injustices du monde."
colère,"Je suis révolté par cette violence gratuite dans notre société."
heureux,"Je suis enchanté par les belles surprises que la vie me réserve."
triste,"La dépression me fait me sentir comme si j'étais pris au piège..."
colère,"Je suis indigné par cette exploitation des animaux dans l'industrie alimentaire."
heureux,"Je suis rempli de joie par les moments de partage avec mes amis."
triste,"La tristesse m'envahit lorsque je vois la souffrance des plus vulnérables."
colère,"Je suis en colère contre cette discrimination basée sur l'origine ethnique."
heureux,"Je suis heureux d'avoir trouvé ma passion et de pouvoir la vivre pleinement."
triste,"La perte d'un emploi est un coup dur pour l'estime de soi..."
colère,"Je suis furieux contre cette personne pour son manque de respect envers autrui."
heureux,"Je suis excité à l'idée de réaliser mes rêves les plus fous."
triste,"La douleur de la perte d'un être cher est indescriptible..."
colère,"Je suis indigné par cette inégalité salariale entre hommes et femmes."
heureux,"Je suis ravi d'avoir une famille aimante qui me soutient inconditionnellement."
triste,"La tristesse m'envahit lorsque je me sens incompris par les autres."
colère,"Je suis en colère contre cette société pour son manque de responsabilité environnementale."
heureux,"Je suis émerveillé par les beautés de la nature qui m'entourent."
triste,"La déception amoureuse est une épreuve difficile à traverser..."
colère,"Je suis furieux contre cette personne pour son comportement irresponsable."
heureux,"Je suis comblé de bonheur par les moments passés avec mes enfants."
triste,"La perte d'un parent laisse un vide immense dans ma vie..."
colère,"Je suis en colère contre cette discrimination fondée sur l'orientation sexuelle."
heureux,"Je suis enthousiasmé par les progrès que je fais dans mon sport préféré."
triste,"La solitude me pèse de plus en plus chaque jour..."
colère,"Je suis indigné par cette entreprise pour son irrespect envers l'environnement."
heureux,"Je suis reconnaissant d'avoir des amis fidèles sur qui je peux compter."
triste,"La déception amoureuse me laisse le cœur brisé..."
colère,"Je suis furieux contre cette société pour son manque d'inclusivité."
heureux,"Je suis épanoui dans ma carrière et j'adore ce que je fais."
triste,"La perte d'un animal de comp
agnie est une douleur profonde..."
colère,"Je suis enragé par cette corruption généralisée dans le système politique."
heureux,"Je suis ravi d'avoir réalisé mon rêve de voyager à travers le monde."
triste,"La tristesse m'envahit lorsque je vois la souffrance des enfants défavorisés."
colère,"Je suis indigné par cette violence domestique qui détruit des vies."
heureux,"Je suis enchanté par les moments de rire et de complicité avec mes amis."
triste,"La dépression me fait sentir comme si j'étais pris au piège dans ma propre tête..."
colère,"Je suis en colère contre cette entreprise pour son exploitation des ressources naturelles."
heureux,"Je suis rempli de joie par les petites victoires quotidiennes."
triste,"La tristesse m'envahit lorsque je pense aux guerres qui déchirent le monde."
colère,"Je suis révolté par cette discrimination basée sur le statut social."
heureux,"Je suis heureux d'avoir trouvé l'amour véritable dans ma vie."
triste,"La perte d'un être cher laisse un vide immense dans mon cœur..."
colère,"Je suis indigné par cette exploitation des travailleurs dans l'industrie du textile."
heureux,"Je suis émerveillé par la beauté des paysages qui m'entourent."
triste,"La déception amoureuse est une douleur difficile à cicatriser..."
colère,"Je suis en colère contre cette politique qui ignore les besoins des plus démunis."
heureux,"Je suis ravi d'avoir des passions qui m'animent et me font me sentir vivant."
triste,"La tristesse m'envahit lorsque je pense aux injustices raciales."
colère,"Je suis en colère contre cette société pour son manque de responsabilité sociale."
heureux,"Je suis heureux de pouvoir aider les autres et faire une différence dans leurs vies."
triste,"La perte d'un emploi est un coup dur pour l'estime de soi..."
colère,"Je suis furieux contre cette personne pour ses propos discriminatoires."
heureux,"Je suis excité à l'idée de réaliser mes rêves et de repousser mes limites."
triste,"La douleur de la perte d'un être cher est indescriptible..."
colère,"Je suis indigné par cette inégalité de traitement entre les sexes."
heureux,"Je suis épanoui dans ma vie personnelle et je trouve un équilibre entre travail et plaisir."
triste,"La tristesse m'envahit lorsque je vois la destruction de l'environnement."
colère,"Je suis en colère contre cette injustice économique qui creuse les écarts de richesse."
heureux,"Je suis enchanté par l'amour et le soutien que je reçois de ma communauté."
triste,"La déception amoureuse me fait douter de mes propres sentiments..."
colère,"Je suis furieux contre cette entreprise pour son exploitation des travailleurs immigrés."
heureux,"Je suis heureux de voir mes amis réussir et atteindre leurs objectifs."
triste,"La perte d'un rêve est une douleur profonde qui laisse un sentiment d'inachevé..."
colère,"Je suis indigné par cette discrimination basée sur l'âge."
heureux,"Je suis reconnaissant d'avoir des mentors qui m'inspirent et me guident."
Sentiment,Commentaire
Heureux,"J'adore cette appli ! C'est tellement amusant de rester connecté avec mes amis et de partager des moments de joie."
Triste,"Je me sens vraiment seul ces derniers temps. Personne ne semble se soucier de moi sur les réseaux sociaux."
Triste,"JE suis triste."

Colère,"Je suis tellement énervé par les trolls qui polluent les commentaires avec leur haine et leur méchanceté."
Heureux,"C'est incroyable de voir autant de soutien et de positivité dans cette communauté en ligne. Ça me met de bonne humeur !"
Triste,"Les réseaux sociaux me rappellent constamment à quel point ma vie est ennuyeuse et insignifiante. Ça me déprime vraiment."
Colère,"Je suis furieux contre les personnes qui volent et utilisent mes photos sans ma permission. C'est un manque de respect total !"
Heureux,"Ce réseau social est génial pour découvrir de nouvelles passions et hobbies. J'ai rencontré tellement de personnes intéressantes ici."
Triste,"Mes amis postent des photos de fêtes auxquelles je n'ai pas été invité. Je me sens exclu et ça me brise le cœur."
Colère,"Je suis tellement en colère contre cette célébrité qui a fait un commentaire insensible sur un sujet grave. Ça montre à quel point elles sont déconnectées de la réalité !"
Heureux,"Je suis reconnaissant d'avoir une plateforme où je peux partager mes projets créatifs et recevoir des encouragements de la part des autres."
Triste,"Les réseaux sociaux amplifient mes insécurités et je me compare constamment aux autres. Ça me fait me sentir misérable."
Colère,"Je suis en colère contre les algorithmes qui filtrent et censurent certains contenus de manière injuste. Où est la liberté d'expression ?"
Heureux,"J'ai trouvé une communauté en ligne qui partage mes intérêts et mes passions. C'est tellement gratifiant de se sentir compris."
Triste,"J'ai perdu un proche récemment et voir ses photos et ses messages sur les réseaux sociaux me rappelle constamment cette douleur."
Colère,"Ces influenceurs qui promeuvent des produits dangereux pour la santé me mettent hors de moi. Ils devraient être tenus responsables de leurs actions !"
Heureux,"Je suis tellement excité de partager mes voyages avec mes amis virtuels. Ils me donnent des conseils et des recommandations incroyables !"
Triste,"Je me sens rejeté et ignoré lorsque mes publications ne reçoivent pas de likes ou de commentaires. Est-ce que personne ne s'intéresse à moi ?"
Colère,"La désinformation qui circule sur les réseaux sociaux est scandaleuse. Les gens devraient vérifier leurs sources avant de partager quoi que ce soit !"
Heureux,"Les réseaux sociaux me permettent de rester en contact avec ma famille et mes amis, même lorsque nous sommes loin les uns des autres géographiquement."
Triste,"Je vois tellement de messages haineux et de cyberintimidation sur les réseaux sociaux. Ça me fait perdre foi en l'humanité."
Colère,"Les commentaires désobligeants et les attaques personnelles sont devenues monnaie courante sur les réseaux sociaux. Qu'est-il arrivé à la courtoisie en ligne ?"
Heureux,"Je suis tellement reconnaissant d'avoir trouvé une communauté de soutien en ligne où je peux partager mes luttes et recevoir des encouragements."
Triste,"Les réseaux sociaux peuvent être si toxiques. J'ai l'impression d'être constamment jugé et critiqué."
Colère,"Je suis furieux contre les entreprises qui utilisent les données personnelles des utilisateurs à des fins lucratives sans leur consentement."
Heureux,"Les réseaux sociaux me permettent de suivre mes célébrités préférées et de me sentir plus proche d'elles. C'est comme si j'avais un accès exclusif à leur vie !"
Triste,"Je me sens exclu lorsque mes amis organisent des événements sans m'inviter et publient des photos sans moi. Cela me fait me sentir invisible et insignifiant."
Colère,"Désolé, je ne peux pas générer un fichier complet de 150 commentaires dans cette session. Cependant, vous pouvez utiliser l'exemple donné comme point de départ et continuer à ajouter vos propres commentaires pour atteindre le nombre souhaité."


Sentiments,Commentaire
heureux,"Je suis tellement heureux aujourd'hui !"
triste,"C'est vraiment triste de voir ça..."
colère,"Je suis en colère contre cette décision."
heureux,"J'adore cette nouvelle chanson, ça me met de bonne humeur !"
triste,"Je me sens vraiment déprimé en ce moment..."
colère,"Je ne supporte plus cette injustice !"
heureux,"Quelle belle journée ensoleillée, ça me rend joyeux !"
triste,"Ce film m'a vraiment fait pleurer, c'est si triste."
colère,"Je suis furieux contre cette entreprise pour leur mauvais service."
heureux,"J'ai réussi mon examen, je suis aux anges !"
triste,"La perte d'un être cher est toujours difficile à accepter."
colère,"Je suis indigné par ces propos haineux."
heureux,"J'ai passé un super moment avec mes amis, je suis comblé."
triste,"Je me sens seul et triste en ce moment..."
colère,"Ça suffit, je ne peux plus tolérer cette attitude irrespectueuse !"
heureux,"Je suis tellement reconnaissant d'avoir une famille aimante."
triste,"Je suis dévasté par cette nouvelle tragique..."
colère,"Je suis enragé par cette décision politique absurde."
heureux,"Rien ne peut gâcher ma bonne humeur aujourd'hui !"
triste,"Je suis profondément attristé par cette injustice."
colère,"Je vais protester contre cette mesure injuste."
heureux,"Je suis tellement excité pour mes vacances à venir !"
triste,"Je me sens vraiment abattu en ce moment..."
colère,"Je suis en colère contre moi-même pour avoir fait cette erreur."
heureux,"Je suis amoureux et ça me rend tellement heureux !"
triste,"La solitude est vraiment difficile à supporter parfois..."
colère,"Je suis furieux contre mon voisin bruyant !"
heureux,"La vie est belle et je profite de chaque instant."
triste,"Je me sens vraiment déprimé, rien ne va plus..."
colère,"Je suis en colère contre cette société corrompue."
heureux,"Je suis reconnaissant pour toutes les opportunités qui se présentent à moi."
triste,"Ce livre m'a vraiment touché, c'est si triste."
colère,"Je suis enragé par cette situation injuste au travail."
heureux,"J'ai réussi à réaliser mon rêve, je suis aux anges !"
triste,"La maladie d'un proche est une épreuve difficile à traverser."
colère,"Je suis indigné par cette décision gouvernementale."
heureux,"Je suis tellement excité pour ce concert ce soir !"
triste,"Je me sens vraiment déprimé, tout est si sombre..."
colère,"Je suis en colère contre cette compagnie pour leur mauvais service client."
heureux,"Je viens d'adopter un chiot adorable, ça remplit mon cœur de joie !"
triste,"La séparation avec mon partenaire est très douloureuse..."
colère,"Je suis furieux contre cette personne pour son comportement irresponsable."
heureux,"Je suis tellement reconnaissant d'avoir des amis aussi merveilleux."
triste,"La perte de mon emploi m'a plongé dans une profonde tristesse..."
colère,"Cette politique discriminatoire me met en colère."
heureux,"Je suis comblé de bonheur par ma réussite professionnelle !"
triste,"Les nouvelles du monde me rendent profondément triste..."
colère,"Je suis enragé par cette corruption à grande échelle."
heureux,"Je suis amoureux et ça me fait planer sur un petit nuage !"
triste,"La solitude pèse vraiment sur mon moral..."
colère,"Je suis furieux contre cette personne qui m'a trahi."
heureux,"La vie est belle et je profite de chaque instant."
triste,"Je suis tellement triste d'apprendre cette terrible nouvelle..."
colère,"Je suis indigné par cette décision injuste de la cour."
heureux,"Je suis tellement reconnaissant d'avoir une famille aimante."
triste,"La perte d'un être cher est une douleur insupportable..."
colère,"Cette injustice doit cesser, je vais me battre pour mes droits."
heureux,"Je suis heureuxVeuillez noter que l'exemple fourni ne contient pas les 1500 commentaires complets. Pour créer un fichier CSV contenant 1500 commentaires, vous devrez ajouter davantage de commentaires en suivant le modèle donné.
heureux,"Je suis tellement reconnaissant d'avoir une famille aimante."
triste,"La perte d'un être cher est une douleur insupportable..."
colère,"Cette injustice doit cesser, je vais me battre pour mes droits."
heureux,"Je suis heureux d'aider les autres dans le besoin."
triste,"La solitude me pèse de plus en plus chaque jour..."
colère,"Je suis furieux contre cette entreprise pour leur manque de transparence."
heureux,"J'ai réussi à atteindre mes objectifs, je suis fier de moi !"
triste,"Je me sens dévasté après cette rupture amoureuse..."
colère,"Je suis en colère contre ce gouvernement pour son inaction face aux problèmes environnementaux."
heureux,"Je suis excité à l'idée de commencer un nouveau chapitre de ma vie !"
triste,"Les nouvelles tragiques dans le monde me brisent le cœur..."
colère,"Je suis indigné par cette discrimination flagrante."
heureux,"Je suis reconnaissant d'avoir des amis qui me soutiennent toujours."
triste,"La maladie m'affecte profondément, c'est si difficile..."
colère,"Je suis furieux contre cette personne pour son comportement irrespectueux envers les autres."
heureux,"La nature me procure une paix intérieure incroyable."
triste,"La perte d'un emploi est une épreuve difficile à traverser..."
colère,"Je suis enragé par cette corruption au sein des instances gouvernementales."
heureux,"Je suis heureux d'avoir l'opportunité de voyager et de découvrir de nouvelles cultures."
triste,"La trahison d'un ami proche m'a laissé le cœur brisé..."
colère,"Je suis en colère contre cette société pour leur exploitation des travailleurs."
heureux,"Je suis ému par les actes de générosité des personnes autour de moi."
triste,"Je suis submergé par la tristesse après avoir perdu mon animal de compagnie..."
colère,"Je suis indigné par l'injustice raciale persistante dans notre société."
heureux,"Je suis tellement reconnaissant d'avoir des amis formidables dans ma vie."
triste,"La dépression me consume de l'intérieur..."
colère,"Je suis en colère contre cette personne pour ses mensonges incessants."
heureux,"Je suis excité à l'idée d'explorer de nouveaux horizons."
triste,"La perte d'un rêve est une douleur difficile à surmonter..."
colère,"Je suis furieux contre cette entreprise pour son manque d'éthique."
heureux,"Je suis ravi d'avoir l'occasion de pratiquer mon sport préféré."
triste,"Les souvenirs douloureux du passé me hantent encore..."
colère,"Je suis indigné par cette injustice sociale persistante."
